,Date,Input 1,Input 2,Input 3,input 4,input 5,Input 6,Input 7,Output
0,1998-01-01,0.8,33.0,19.7,43,20,2.666193503996486,4.0541775713429375,20.7
1,1998-01-02,2.1,33.0,19.3,31,14,2.9353696051239457,5.840775212298594,17.9
2,1998-01-03,1.5,35.5,21.3,32,14,3.3466639547950052,5.214950604042231,18.4
3,1998-01-04,1.4,32.7,24.0,22,13,3.315289483403119,5.0478585502271685,20.4
4,1998-01-05,1.5,33.1,21.4,28,14,3.0926829585298234,4.837675034710924,15.4
5,1998-01-06,2.0,26.1,17.3,32,19,2.040909665585048,4.776387263024647,15.9
6,1998-01-07,1.7,28.5,16.8,30,14,2.3429501914878355,4.87211374030972,18.6
7,1998-01-08,0.8,30.6,14.8,41,16,2.3409785183908154,3.4535558545913085,15.6
8,1998-01-09,1.5,34.6,18.6,30,12,3.1699093258155737,5.135962720022131,18.1
9,1998-01-10,1.1,32.4,20.0,28,14,2.9330050726966155,4.551686332469861,21.4
10,1998-01-11,1.7,31.1,17.7,31,14,2.6415947206772916,4.996824922159066,16.5
11,1998-01-12,2.0,29.6,19.4,27,15,2.584623017067291,5.476116652546502,18.8
12,1998-01-13,1.5,32.9,17.2,32,13,2.843095367860296,4.976983089237943,18.1
13,1998-01-14,0.7,29.9,16.0,39,17,2.3053746221081854,3.4599081938205765,17.6
14,1998-01-15,2.0,30.0,15.3,31,13,2.4455378444943117,5.3282200716150925,16.9
15,1998-01-16,1.5,33.0,15.9,29,10,2.90494682882971,4.901134052405274,16.0
16,1998-01-17,1.5,34.0,16.0,29,10,3.0391588660093154,5.006148317238981,16.1
17,1998-01-18,2.1,31.5,23.0,17,10,3.245847619656261,6.097523636929964,19.2
18,1998-01-19,1.1,31.7,13.6,35,11,2.5864812411663762,4.123650050990301,16.2
19,1998-01-20,1.5,32.7,15.8,33,12,2.777680335550711,4.8656888672315555,16.2
20,1998-01-21,1.2,29.0,13.8,32,13,2.2789811232068704,4.1247589191499126,16.8
21,1998-01-22,1.2,33.0,14.2,34,11,2.772841321285422,4.469149981690929,17.0
22,1998-01-23,1.5,34.2,15.9,29,10,3.061831866655446,5.067312683652485,16.2
23,1998-01-24,1.5,39.0,16.2,36,10,3.7354876222445004,5.618380200058815,17.4
24,1998-01-25,0.3,37.5,16.1,39,11,3.4273698834479296,3.1537174068971248,18.4
25,1998-01-26,0.4,35.3,17.0,44,15,2.9721128321247585,3.370210917014152,18.5
26,1998-01-27,0.6,38.5,18.9,41,13,3.604797641257243,4.078289123744647,20.4
27,1998-01-28,0.4,39.5,18.7,44,13,3.727722800729942,3.7269956575541245,20.3
28,1998-01-29,0.4,40.1,24.2,35,14,4.169931465869061,3.7155483965811142,19.2
29,1998-01-30,0.4,39.3,23.7,31,13,4.101669919846218,3.5782185321680067,18.5
30,1998-01-31,0.7,39.0,22.7,29,12,4.0556423650537266,4.369089271587188,20.9
31,1998-02-01,1.2,40.7,23.4,30,11,4.413932889473189,5.471443788123951,20.4
32,1998-02-02,1.3,40.8,22.5,34,12,4.285657206060435,5.6468245981137155,19.9
33,1998-02-03,0.8,41.7,21.8,38,12,4.360749685574338,4.8341118985486675,21.3
34,1998-02-04,1.4,42.5,22.1,33,10,4.678680818727426,6.148398458606108,21.4
35,1998-02-05,1.4,42.5,23.7,30,10,4.813263472610138,6.180484613258149,21.7
36,1998-02-06,1.2,41.2,26.3,23,10,4.8545360305328105,5.605885836694205,21.0
37,1998-02-07,0.8,41.7,22.7,33,11,4.515641100871477,4.864393174108522,21.5
38,1998-02-08,0.9,40.5,22.8,34,12,4.2487100804609055,4.82431818824177,19.3
39,1998-02-09,1.4,39.2,24.0,26,11,4.248811935826524,5.733694156537606,19.3
40,1998-02-10,0.9,39.8,25.4,28,12,4.37869254811762,5.073472078544106,22.2
41,1998-02-11,1.0,39.0,22.9,39,15,3.823083826954904,5.011545676541324,19.8
42,1998-02-12,1.6,35.4,23.6,49,25,2.8983909483515835,5.454140648095118,18.6
43,1998-02-13,2.3,35.7,21.7,31,14,3.408487973730718,6.9898964049521375,21.0
44,1998-02-14,1.9,35.5,23.0,24,12,3.6107599591055997,6.437731275460421,20.8
45,1998-02-15,0.8,34.6,20.9,31,14,3.2175708846517868,4.455715587613237,20.8
46,1998-02-16,0.6,34.8,20.2,33,14,3.1842293886036823,4.128986560243963,21.0
47,1998-02-17,2.2,35.1,24.0,18,9,3.795900065900318,7.040624877850209,21.3
